"timestamp","Solar Yield (delta)","Grid to battery","Grid to consumers","PV to battery","PV to grid","PV to consumers","Battery to consumers","Battery to grid","Genset to consumers","Genset to battery","Gas"
"America/Indianapolis (-05:00)","kWh","kWh","kWh","kWh","kWh","kWh","kWh","kWh","kWh","kWh","m3"
"2022-12-31 07:45:00",,,,"0.01",,,,,,,
"2022-12-31 08:00:00",,,,"0.01",,,,,,,
"2022-12-31 08:15:00",,,,"0.01",,,,,,,
"2022-12-31 08:30:00",,,,"0.02",,,,,,,
"2022-12-31 08:45:00",,,,"0.02",,,,,,,
"2022-12-31 09:00:00",,,,"0.01",,,,,,,
"2022-12-31 09:45:00",,,,"0.01",,,,,,,
"2022-12-31 10:00:00",,,,"0.01",,,,,,,
"2022-12-31 10:30:00",,,,"0.01",,,,,,,
"2022-12-31 11:00:00",,,,"0.01",,,,,,,
"2022-12-31 11:15:00",,,,"0.02",,,,,,,
"2022-12-31 11:30:00",,,,"0.01",,,,,,,
"2022-12-31 11:45:00",,,,"0.02",,,,,,,,